Модель,mAP50-95,mAP50,mAP75,mAP small,mAP medium,mAP large,AR1,AR100
LibreDFINEs,0.4977,0.6632,0.5407,0.3152,0.5367,0.6562,0.3758,0.6361
LibreRFDETRs,0.5025,0.6773,0.5433,0.287,0.5546,0.7088,0.375,0.5837
LibreRFDETRl,0.538,0.709,0.5845,0.3425,0.5837,0.7182,0.3901,0.6224
LibreRFDETRm,0.5198,0.6915,0.5629,0.3075,0.5702,0.7143,0.3812,0.6037
LibreRTDETRv4x,0.5523,0.7193,0.6023,0.3738,0.6023,0.7356,0.3954,0.657
LibreRFDETRn,0.4583,0.63,0.4926,0.2238,0.5085,0.6878,0.3523,0.5315
LibreDFINEx,0.5844,0.7569,0.6362,0.4118,0.6338,0.7571,0.4131,0.706
LibreDFINEn,0.4199,0.5898,0.4463,0.2204,0.4595,0.6138,0.3326,0.5463
LibreRTDETRv2r18,0.471,0.6357,0.5103,0.29,0.5022,0.6325,0.36,0.6076
LibreRTDETRr50m,0.4932,0.6648,0.5324,0.3125,0.5422,0.6725,0.3655,0.5929
LibreRTDETRv2r50m,0.509,0.6836,0.5523,0.3229,0.5574,0.6829,0.3799,0.6339
LibreRTDETRv4m,0.5174,0.6812,0.5639,0.3254,0.5562,0.6949,0.3784,0.6213
LibreDFINEm,0.541,0.7123,0.5859,0.3625,0.5846,0.7067,0.3939,0.6708
LibreDFINEl,0.5634,0.7369,0.6131,0.3945,0.6061,0.7289,0.4014,0.69
LibreRTDETRr34,0.4691,0.6372,0.5056,0.2821,0.503,0.6445,0.3543,0.5742
