Модель,Параметры (млн),Размер (МБ),MD5
LibreRTDETRv4x,62.6,241.18,d8b4978cf010b5062957fe48bc91b088
LibreRTDETRr34,31.34,120.38,26768294a3283e16bd0ecf102208a522
LibreRFDETRl,30.33,116.49,12b3ac95a370863aa6f883d9ced324e7
LibreRFDETRs,28.51,109.49,1227c419412e243a7ec54204e630940f
LibreRFDETRm,30.08,115.56,0211903edcc8c7e452a2f8ab234d4e43
LibreDFINEm,19.26,75.0,2bd8cc56b3762fb9114881b0d96e0835
LibreRFDETRn,26.86,103.16,b582fa63f2b8cb9578abbc18def9f075
LibreRTDETRv4m,19.52,76.04,4c9715335c908fb60fff650ce7398fb5
LibreDFINEs,10.25,40.39,504d5828e71596ae4dab52c70e1ed377
LibreRTDETRv2r18,20.15,77.54,7b6a9b5d2e7c0784e861a0b809560adb
LibreDFINEl,30.79,119.54,7b34533198d040ba19b63cedaaa324e9
LibreRTDETRr50m,33.13,127.16,80d0a290ea307baffdd61224417e195e
LibreDFINEx,61.71,237.76,49d36af347bfdca9b93d8f4c43d87317
LibreRTDETRv2r50m,33.17,127.25,a4d8958e1aeecdb9884313855780b833
LibreDFINEn,3.75,15.17,8658860dc9cb52684803fb32c19070cf
